#,autor_docente,autores,producao,ano,tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,q_p,qualis_estrato,qualis,programas,prog._qtd,Cluster
15723,1,[11349],1451233,1979,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15726,1,[11349],1451236,1999,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15727,1,[11349],1451237,1996,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15729,1,[11349],1451239,1985,25,1.52,0.75,68,0.75,Q3,0.50,B1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15730,1,[11349],1451240,2002,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15731,2,[11349-54957],1451241,2008,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15732,1,[11349],1451242,2002,25,1.76,0.75,64,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15734,1,[11349],1451244,2003,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15738,1,[11349],1451248,1985,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15741,1,[11349],1451252,2004,25,1.51,0.75,51,0.50,Q2,0.50,B1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15744,1,[11349],1451255,2004,25,4.93,1.00,93,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15745,2,[11349-79478],1451256,2018,25,3.09,1.00,83,1.00,Q4,0.90,A2,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15746,2,[11349-61596],1451257,2011,25,2.33,1.00,73,0.75,Q3,0.90,A2,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15747,1,[11349],1451258,1985,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15748,1,[11349],1451259,2003,25,2.85,1.00,79,1.00,Q4,0.50,B1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15750,1,[11349],1451261,2010,25,2.77,1.00,77,1.00,Q4,0.00,C/NI/NP,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15751,1,[11349],1451262,2003,25,1.85,0.75,64,0.75,Q3,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15752,1,[11349],1451263,2004,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15753,3,[11349-79478-89873],1451264,2013,25,2.00,0.75,81,1.00,Q4,0.80,A3,[23001011010P0-23001011020P6-23001011035P3-23001011170P8],4,cluster1
15755,1,[11349],1451266,2013,25,4.01,1.00,89,1.00,Q4,1.00,A1,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15756,1,[11349],1451267,1998,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
15758,1,[11349],1451269,1986,25,1.49,0.75,54,0.75,Q3,0.70,A4,[23001011010P0-23001011020P6-23001011035P3],3,cluster1
