#,autor_docente,autores,producao,ano,tipo_producao,citescore,quartil_citescore,percentile,quartil_percentile,q_p,qualis_estrato,qualis,programas,prog._qtd,Cluster
56245,1,[33349],5514826,2012,25,0.35,0.50,30,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56248,1,[33349],5514829,2019,25,0.41,0.50,36,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56275,1,[33349],5514857,2016,25,0.40,0.50,28,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56299,1,[33349],5514882,2017,25,1.76,0.75,72,0.75,Q3,1.00,A1,[23001011050P2],1,cluster1
56311,2,[33349-90322],5514894,2014,25,0.40,0.50,28,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56312,1,[33349],5514895,2017,25,0.40,0.50,28,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56318,1,[33349],5514901,2019,25,1.76,0.75,72,0.75,Q3,1.00,A1,[23001011050P2],1,cluster1
56325,1,[33349],5514909,2014,25,1.77,0.75,79,1.00,Q4,0.00,C/NI/NP,[23001011050P2],1,cluster1
56349,2,[33349-46114],5514941,2019,25,0.50,0.50,37,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56353,1,[33349],5514947,2013,25,0.40,0.50,28,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56355,1,[33349],5514949,2017,25,1.55,0.75,73,0.75,Q3,1.00,A1,[23001011050P2],1,cluster1
56365,1,[33349],5514959,2019,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011050P2],1,cluster1
56375,1,[33349],5514969,2019,25,0.76,0.50,41,0.50,Q2,0.70,A4,[23001011050P2],1,cluster1
56397,1,[33349],5514991,2014,25,0.50,0.50,37,0.50,Q2,0.50,B1,[23001011050P2],1,cluster1
56413,1,[33352],5515194,2018,25,4.77,1.00,95,1.00,Q4,1.00,A1,[23001011031P8],1,cluster1
56419,1,[33352],5515203,2017,25,3.42,1.00,79,1.00,Q4,0.90,A2,[23001011031P8],1,cluster1
56426,1,[33352],5515215,2018,25,4.77,1.00,95,1.00,Q4,1.00,A1,[23001011031P8],1,cluster1
56427,2,[33352-55141],5515216,2018,25,4.77,1.00,95,1.00,Q4,1.00,A1,[23001011031P8],1,cluster1
56430,2,[33352-57917],5515222,2016,25,0.87,0.50,35,0.50,Q2,0.50,B1,[23001011031P8-23001011075P5],2,cluster1
56436,1,[49979],5517522,2001,25,1.82,0.75,72,0.75,Q3,0.70,A4,[23001011031P8-23001011063P7-23001011172P0],3,cluster1
56437,4,[39907-49979-68466-86609],5517530,2016,25,2.01,1.00,68,0.75,Q3,0.80,A3,[23001011031P8-23001011040P7-23001011047P1-23001011060P8-23001011063P7-23001011172P0],6,cluster1
56439,3,[39907-68466-86609],5517701,2011,25,1.46,0.75,56,0.75,Q3,0.70,A4,[23001011031P8-23001011040P7-23001011047P1-23001011060P8],4,cluster1
56440,3,[49979-68466-86609],5517730,2013,25,0.76,0.50,36,0.50,Q2,0.35,B2,[23001011031P8-23001011060P8-23001011063P7-23001011172P0],4,cluster1
56453,2,[39881-74415],5520335,2014,25,2.35,1.00,87,1.00,Q4,0.90,A2,[23001011031P8-23001011040P7],2,cluster1
56454,2,[39881-74415],5520377,2013,25,2.05,1.00,83,1.00,Q4,0.70,A4,[23001011031P8-23001011040P7],2,cluster1
56461,1,[33389],5521978,2017,25,0.65,0.50,37,0.50,Q2,1.00,A1,[23001011032P4-23001011077P8],2,cluster1
56474,1,[33389],5521996,2001,25,0.65,0.50,37,0.50,Q2,1.00,A1,[23001011032P4-23001011077P8],2,cluster1
56481,1,[33389],5522007,2017,25,0.65,0.50,37,0.50,Q2,1.00,A1,[23001011032P4-23001011077P8],2,cluster1
56485,2,[33389-84929],5522014,2017,25,0.65,0.50,37,0.50,Q2,1.00,A1,[23001011032P4-23001011077P8-31001017169P2],3,cluster1
56509,1,[33389],5522059,2017,25,0.65,0.50,37,0.50,Q2,1.00,A1,[23001011032P4-23001011077P8],2,cluster1
56519,3,[33389-73552-79660],5522079,2013,25,0.65,0.50,37,0.50,Q2,1.00,A1,[22001018074P6-23001011001P1-23001011032P4-23001011077P8],4,cluster1
56527,1,[33389],5522100,2013,25,0.65,0.50,37,0.50,Q2,1.00,A1,[23001011032P4-23001011077P8],2,cluster1
56556,1,[65975],5522657,2009,25,1.85,0.75,50,0.50,Q2,0.50,B1,[23001011056P0],1,cluster1
56558,1,[65975],5522729,2012,25,2.73,1.00,70,0.75,Q3,0.80,A3,[23001011056P0],1,cluster1
56559,1,[65975],5522731,2018,25,3.78,1.00,91,1.00,Q4,1.00,A1,[23001011056P0],1,cluster1
56561,1,[65975],5522774,2009,25,1.85,0.75,50,0.50,Q2,0.50,B1,[23001011056P0],1,cluster1
56565,1,[83911],5523673,2008,25,3.99,1.00,90,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
56566,1,[83911],5523765,2015,25,2.45,1.00,52,0.75,Q3,0.70,A4,[23001011020P6],1,cluster1
56568,1,[41661],5525062,1992,25,1.52,0.75,68,0.75,Q3,0.50,B1,[23001011170P8],1,cluster1
56569,1,[41661],5525066,1990,25,2.02,1.00,67,0.75,Q3,0.80,A3,[23001011170P8],1,cluster1
56571,1,[41661],5525087,2012,25,1.51,0.75,51,0.50,Q2,0.50,B1,[23001011170P8],1,cluster1
56572,1,[41661],5525136,1992,25,2.83,1.00,78,1.00,Q4,0.90,A2,[23001011170P8],1,cluster1
56576,3,[33418-49236-72586],5526131,2009,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9],1,cluster1
56577,2,[33418-49236],5526132,2016,25,5.07,1.00,90,1.00,Q4,1.00,A1,[23001011022P9],1,cluster1
56579,2,[33418-49236],5526134,2018,25,1.18,0.75,41,0.50,Q2,0.00,C/NI/NP,[23001011022P9],1,cluster1
56587,2,[33418-49236],5526147,2016,25,1.18,0.75,41,0.50,Q2,0.00,C/NI/NP,[23001011022P9],1,cluster1
56589,2,[33418-78992],5526152,2005,25,0.79,0.50,38,0.50,Q2,0.50,B1,[23001011022P9],1,cluster1
56592,3,[33418-49236-72586],5526155,2012,25,1.45,0.75,39,0.50,Q2,0.50,B1,[23001011022P9],1,cluster1
56594,1,[58801],5526714,2010,25,1.73,0.75,61,0.75,Q3,0.80,A3,[23001011005P7],1,cluster1
56599,2,[56848-74943],5526862,2008,25,1.35,0.75,83,1.00,Q4,0.80,A3,[23001011005P7],1,cluster1
56607,1,[55570],5533742,2007,25,2.12,1.00,80,1.00,Q4,1.00,A1,[22003010017P5-23001011011P7],2,cluster1
56612,1,[86609],5535583,2012,25,2.59,1.00,86,1.00,Q4,1.00,A1,[23001011031P8-23001011060P8],2,cluster1
56613,1,[56844],5535806,2018,25,2.72,1.00,76,1.00,Q4,0.90,A2,[23001011033P0-23001011079P0],2,cluster1
56616,1,[53258],5542543,2012,25,4.19,1.00,84,1.00,Q4,0.90,A2,[23001011022P9],1,cluster1
56617,1,[53258],5542545,2019,25,1.19,0.75,34,0.50,Q2,0.00,C/NI/NP,[23001011022P9],1,cluster1
56629,1,[33505],5542831,2004,25,1.37,0.75,52,0.75,Q3,0.50,B1,[23001011011P7],1,cluster1
56638,1,[33505],5542840,2015,25,1.41,0.75,60,0.75,Q3,0.50,B1,[23001011011P7],1,cluster1
56647,1,[33505],5542850,2014,25,2.81,1.00,80,1.00,Q4,0.90,A2,[23001011011P7],1,cluster1
56654,1,[33505],5542857,2008,25,0.96,0.75,57,0.75,Q3,0.70,A4,[23001011011P7],1,cluster1
56657,1,[33505],5542860,2015,25,0.96,0.75,39,0.50,Q2,0.00,C/NI/NP,[23001011011P7],1,cluster1
56659,3,[33505-54448-62705],5542862,2017,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011011P7-23001011075P5],2,cluster1
56671,1,[33505],5542875,2012,25,1.19,0.75,50,0.75,Q3,0.90,A2,[23001011011P7],1,cluster1
56672,1,[33505],5542876,2014,25,4.17,1.00,91,1.00,Q4,1.00,A1,[23001011011P7],1,cluster1
56682,1,[33505],5542886,2015,25,4.17,1.00,91,1.00,Q4,1.00,A1,[23001011011P7],1,cluster1
56691,1,[33505],5542896,2003,25,1.86,0.75,64,0.75,Q3,0.00,C/NI/NP,[23001011011P7],1,cluster1
56711,1,[33505],5542917,2018,25,1.93,0.75,49,0.50,Q2,0.70,A4,[23001011011P7],1,cluster1
56712,2,[33505-90083],5542918,2012,25,1.49,0.75,56,0.75,Q3,0.50,B1,[23001011011P7],1,cluster1
56718,1,[33505],5542925,2017,25,5.80,1.00,97,1.00,Q4,1.00,A1,[23001011011P7],1,cluster1
56724,1,[33505],5542932,2016,25,3.92,1.00,82,1.00,Q4,0.90,A2,[23001011011P7],1,cluster1
56727,1,[33505],5542935,2019,25,5.80,1.00,97,1.00,Q4,1.00,A1,[23001011011P7],1,cluster1
56732,1,[33505],5542940,2004,25,1.37,0.75,52,0.75,Q3,0.50,B1,[23001011011P7],1,cluster1
56733,1,[33505],5542941,2019,25,1.70,0.75,67,0.75,Q3,0.70,A4,[23001011011P7],1,cluster1
56739,1,[33505],5542947,2010,25,0.94,0.75,38,0.50,Q2,0.80,A3,[23001011011P7],1,cluster1
56749,2,[33505-55570],5542957,2007,25,0.62,0.50,55,0.75,Q3,0.70,A4,[22003010017P5-23001011011P7],2,cluster1
56763,4,[39907-56844-86609-90902],5545179,2019,25,2.72,1.00,76,1.00,Q4,0.90,A2,[23001011003P4-23001011031P8-23001011033P0-23001011040P7-23001011047P1-23001011060P8-23001011079P0],7,cluster1
56764,1,[56844],5545183,2018,25,1.60,0.75,62,0.75,Q3,0.70,A4,[23001011033P0-23001011079P0],2,cluster1
56765,1,[86609],5545190,2013,25,2.59,1.00,86,1.00,Q4,1.00,A1,[23001011031P8-23001011060P8],2,cluster1
56767,1,[86609],5545230,2019,25,2.59,1.00,86,1.00,Q4,1.00,A1,[23001011031P8-23001011060P8],2,cluster1
56768,2,[74311-86609],5545254,2015,25,2.22,1.00,79,1.00,Q4,0.80,A3,[23001011031P8-23001011060P8],2,cluster1
56770,1,[86609],5545338,2013,25,2.22,1.00,79,1.00,Q4,0.90,A2,[23001011031P8-23001011060P8],2,cluster1
56772,1,[68800],5553364,2019,25,2.38,1.00,86,1.00,Q4,0.00,C/NI/NP,[23001011010P0],1,cluster1
56773,1,[57557],5554961,2017,25,2.44,1.00,71,0.75,Q3,0.90,A2,[31001017169P2],1,cluster1
56774,1,[90577],5554980,2012,25,6.12,1.00,97,1.00,Q4,1.00,A1,[23001011040P7],1,cluster1
56778,1,[63247],5556322,2018,25,2.01,1.00,81,1.00,Q4,0.90,A2,[23001011033P0],1,cluster1
56779,1,[88504],5556356,2017,25,4.10,1.00,91,1.00,Q4,1.00,A1,[23001011009P2-23001011026P4-23001011041P3],3,cluster1
56791,1,[89873],5559856,2012,25,3.02,1.00,89,1.00,Q4,1.00,A1,[23001011035P3],1,cluster1
56792,1,[49917],5561205,2018,25,0.84,0.50,69,0.75,Q3,0.50,B1,[23001011005P7],1,cluster1
56797,2,[40723-92444],5563057,1996,25,2.38,1.00,86,1.00,Q4,0.00,C/NI/NP,[23001011010P0-33283010001P5],2,cluster1
56798,1,[92444],5563059,2001,25,1.57,0.75,53,0.75,Q3,0.70,A4,[23001011010P0],1,cluster1
56799,1,[92444],5563068,2012,25,2.82,1.00,91,1.00,Q4,0.80,A3,[23001011010P0],1,cluster1
56801,3,[33639-62219-73671],5565357,2012,25,8.47,1.00,98,1.00,Q4,1.00,A1,[23001011009P2-23001011011P7-23001011026P4],3,cluster1
56818,2,[33639-62219],5565378,2011,25,8.47,1.00,98,1.00,Q4,1.00,A1,[23001011009P2-23001011011P7-23001011026P4],3,cluster1
56834,2,[33639-62219],5565402,2004,25,1.19,0.75,50,0.75,Q3,0.90,A2,[23001011009P2-23001011011P7-23001011026P4],3,cluster1
57023,1,[35379],5587413,2018,25,1.61,0.75,66,0.75,Q3,0.05,B4,[23001011031P8-23001011040P7-23001011047P1-23001011075P5],4,cluster1
57028,1,[33792],5592878,2018,25,1.27,0.75,66,0.75,Q3,0.00,C/NI/NP,[23001011059P0],1,cluster1
57030,1,[33792],5592883,2018,25,1.22,0.75,55,0.75,Q3,0.80,A3,[23001011059P0],1,cluster1
57031,1,[33792],5592884,2018,25,1.11,0.75,52,0.75,Q3,0.50,B1,[23001011059P0],1,cluster1
57032,1,[33792],5592885,2011,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57033,1,[33792],5592887,2018,25,1.75,0.75,69,0.75,Q3,0.80,A3,[23001011059P0],1,cluster1
57040,1,[33792],5592895,2016,25,1.01,0.75,49,0.50,Q2,0.70,A4,[23001011059P0],1,cluster1
57044,1,[33792],5592902,2010,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57045,1,[33792],5592903,2011,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57047,1,[33792],5592906,2015,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57049,1,[33792],5592908,2009,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57052,1,[33792],5592914,2010,25,2.90,1.00,93,1.00,Q4,1.00,A1,[23001011059P0],1,cluster1
57053,1,[33792],5592915,2018,25,3.71,1.00,90,1.00,Q4,1.00,A1,[23001011059P0],1,cluster1
57058,1,[33792],5592921,2011,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57062,1,[33792],5592925,2006,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57063,1,[33792],5592926,2011,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57064,1,[33792],5592927,2014,25,0.85,0.50,42,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57065,1,[33792],5592928,2018,25,1.96,0.75,72,0.75,Q3,0.80,A3,[23001011059P0],1,cluster1
57070,1,[33792],5592935,2011,25,1.11,0.75,52,0.75,Q3,0.50,B1,[23001011059P0],1,cluster1
57076,1,[33792],5592946,2010,25,1.22,0.75,55,0.75,Q3,0.00,C/NI/NP,[23001011059P0],1,cluster1
57079,1,[33792],5592950,2018,25,1.26,0.75,57,0.75,Q3,0.00,C/NI/NP,[23001011059P0],1,cluster1
57080,1,[33792],5592951,2014,25,4.42,1.00,99,1.00,Q4,1.00,A1,[23001011059P0],1,cluster1
57081,1,[33792],5592952,2014,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57085,1,[33792],5592956,2011,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57086,1,[33792],5592957,2005,25,1.22,0.75,55,0.75,Q3,0.00,C/NI/NP,[23001011059P0],1,cluster1
57088,1,[33792],5592959,2013,25,1.11,0.75,52,0.75,Q3,0.50,B1,[23001011059P0],1,cluster1
57089,1,[33792],5592960,2012,25,2.03,1.00,70,0.75,Q3,0.90,A2,[23001011059P0],1,cluster1
57093,1,[33792],5592964,2012,25,1.22,0.75,55,0.75,Q3,0.00,C/NI/NP,[23001011059P0],1,cluster1
57094,1,[33792],5592966,2016,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57098,1,[33792],5592970,2018,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57102,1,[33792],5592975,2006,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57104,1,[33792],5592978,2009,25,1.22,0.75,55,0.75,Q3,0.00,C/NI/NP,[23001011059P0],1,cluster1
57105,1,[33792],5592979,2014,25,3.51,1.00,92,1.00,Q4,1.00,A1,[23001011059P0],1,cluster1
57106,1,[33792],5592986,2012,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57110,1,[33792],5592992,2019,25,1.75,0.75,69,0.75,Q3,0.80,A3,[23001011059P0],1,cluster1
57113,1,[33792],5592997,2012,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57115,1,[33792],5592999,2010,25,1.11,0.75,52,0.75,Q3,0.50,B1,[23001011059P0],1,cluster1
57117,1,[33792],5593001,2008,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57118,1,[33792],5593002,2013,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57119,1,[33792],5593003,2013,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57125,1,[33792],5593010,2013,25,4.73,1.00,98,1.00,Q4,0.00,C/NI/NP,[23001011059P0],1,cluster1
57130,1,[33792],5593017,2012,25,0.53,0.50,26,0.50,Q2,0.50,B1,[23001011059P0],1,cluster1
57136,1,[41175],5606455,2006,25,4.33,1.00,96,1.00,Q4,1.00,A1,[23001011003P4-23001011031P8-23001011054P8],3,cluster1
57138,2,[51535-65884],5609390,2015,25,4.76,1.00,97,1.00,Q4,1.00,A1,[23001011015P2-23001011023P5],2,cluster1
57145,1,[48068],5612149,2016,25,2.16,1.00,36,0.50,Q2,0.70,A4,[23001011040P7-23001011047P1],2,cluster1
57205,1,[51890],5612784,2008,25,2.16,1.00,79,1.00,Q4,0.90,A2,[23001011031P8-23001011063P7-23001011172P0],3,cluster1
57207,1,[51890],5612790,2012,25,2.09,1.00,55,0.75,Q3,0.50,B1,[23001011031P8-23001011063P7-23001011172P0],3,cluster1
57210,2,[51890-74533],5612797,2008,25,2.09,1.00,55,0.75,Q3,0.50,B1,[23001011031P8-23001011063P7-23001011172P0-23001011173P7],4,cluster1
57212,1,[79539],5612814,2013,25,2.09,1.00,55,0.75,Q3,0.50,B1,[23001011043P6],1,cluster1
57222,1,[86609],5616242,2011,25,1.00,0.75,38,0.50,Q2,0.50,B1,[23001011031P8-23001011060P8],2,cluster1
57223,3,[33923-84815-87453],5616251,2016,25,3.99,1.00,80,1.00,Q4,0.90,A2,[23001011054P8-23001011070P3-23001011170P8],3,cluster1
57226,1,[33923],5616257,2019,25,2.78,1.00,80,1.00,Q4,0.70,A4,[23001011054P8],1,cluster1
57227,1,[33923],5616258,2008,25,2.66,1.00,59,0.75,Q3,0.80,A3,[23001011054P8],1,cluster1
57230,2,[33923-78105],5616261,2018,25,6.50,1.00,96,1.00,Q4,1.00,A1,[23001011003P4-23001011054P8-23001011170P8],3,cluster1
57233,1,[33923],5616264,2009,25,2.36,1.00,64,0.75,Q3,0.80,A3,[23001011054P8],1,cluster1
57234,1,[33923],5616265,2006,25,3.15,1.00,79,1.00,Q4,0.90,A2,[23001011054P8],1,cluster1
57238,1,[33923],5616270,2008,25,1.82,0.75,72,0.75,Q3,0.70,A4,[23001011054P8],1,cluster1
57239,1,[33923],5616271,2016,25,3.20,1.00,85,1.00,Q4,1.00,A1,[23001011054P8],1,cluster1
57241,1,[33923],5616274,2010,25,2.77,1.00,72,0.75,Q3,0.80,A3,[23001011054P8],1,cluster1
57243,1,[33923],5616276,1998,25,3.24,1.00,74,0.75,Q3,0.90,A2,[23001011054P8],1,cluster1
57244,1,[33923],5616277,1999,25,4.20,1.00,87,1.00,Q4,1.00,A1,[23001011054P8],1,cluster1
57247,1,[33923],5616280,2007,25,2.69,1.00,53,0.50,Q2,0.80,A3,[23001011054P8],1,cluster1
57248,1,[33923],5616281,1997,25,3.40,1.00,96,1.00,Q4,1.00,A1,[23001011054P8],1,cluster1
57249,1,[33923],5616282,2008,25,2.21,1.00,48,0.50,Q2,0.70,A4,[23001011054P8],1,cluster1
57258,1,[33923],5616292,1999,25,1.33,0.75,31,0.50,Q2,0.35,B2,[23001011054P8],1,cluster1
57259,1,[33923],5616293,2016,25,2.36,1.00,64,0.75,Q3,0.80,A3,[23001011054P8],1,cluster1
57261,1,[33923],5616295,2013,25,1.82,0.75,72,0.75,Q3,0.70,A4,[23001011054P8],1,cluster1
57263,1,[33923],5616297,2002,25,1.82,0.75,72,0.75,Q3,0.70,A4,[23001011054P8],1,cluster1
57265,1,[33923],5616299,2000,25,6.12,1.00,96,1.00,Q4,1.00,A1,[23001011054P8],1,cluster1
57269,1,[33923],5616303,2000,25,1.82,0.75,72,0.75,Q3,0.70,A4,[23001011054P8],1,cluster1
57272,1,[33923],5616307,2016,25,3.99,1.00,80,1.00,Q4,0.90,A2,[23001011054P8],1,cluster1
57277,1,[33952],5620657,2007,25,2.79,1.00,73,0.75,Q3,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57280,1,[33952],5620660,2005,25,2.79,1.00,73,0.75,Q3,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57282,1,[33952],5620662,2007,25,3.31,1.00,78,0.75,Q3,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57283,1,[33952],5620663,2013,25,2.64,1.00,82,1.00,Q4,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57286,1,[33952],5620666,2014,25,3.65,1.00,83,1.00,Q4,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57288,1,[33952],5620670,2011,25,3.45,1.00,75,0.75,Q3,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57289,1,[33952],5620671,2017,25,2.66,1.00,68,0.75,Q3,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57290,1,[33952],5620672,2013,25,2.79,1.00,73,0.75,Q3,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57291,1,[33952],5620673,2009,25,4.40,1.00,93,1.00,Q4,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57292,1,[33952],5620674,2006,25,2.64,1.00,82,1.00,Q4,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57293,1,[33952],5620675,2012,25,3.02,1.00,89,1.00,Q4,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57298,1,[33952],5620680,2016,25,4.30,1.00,89,1.00,Q4,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57305,1,[33952],5620688,2006,25,2.66,1.00,68,0.75,Q3,0.00,C/NI/NP,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57306,1,[33952],5620690,2015,25,1.39,0.75,39,0.50,Q2,0.50,B1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57307,1,[33952],5620691,2013,25,3.65,1.00,83,1.00,Q4,0.90,A2,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57308,1,[33952],5620692,2017,25,2.79,1.00,73,0.75,Q3,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57312,3,[33952-39881-80604],5620696,2016,25,2.20,1.00,81,1.00,Q4,0.90,A2,[22003010017P5-23001011012P3-23001011020P6-23001011031P8-23001011059P0-23001011073P2],6,cluster1
57313,1,[33952],5620697,2009,25,3.12,1.00,94,1.00,Q4,1.00,A1,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57315,1,[33952],5620699,2009,25,2.66,1.00,68,0.75,Q3,0.00,C/NI/NP,[22003010017P5-23001011020P6-23001011059P0-23001011073P2],4,cluster1
57319,1,[48068],5620833,2009,25,2.64,1.00,69,0.75,Q3,0.80,A3,[23001011040P7-23001011047P1],2,cluster1
57322,1,[48068],5620886,2009,25,2.67,1.00,70,0.75,Q3,0.80,A3,[23001011040P7-23001011047P1],2,cluster1
57325,1,[83911],5634267,2018,25,3.40,1.00,96,1.00,Q4,1.00,A1,[23001011020P6],1,cluster1
57328,1,[83911],5634291,2015,25,1.19,0.75,79,1.00,Q4,0.90,A2,[23001011020P6],1,cluster1
57329,3,[64042-83615-83911],5634310,2013,25,4.57,1.00,90,1.00,Q4,1.00,A1,[22003010017P5-23001011020P6-23001011031P8-23001011035P3],4,cluster1
57330,1,[83911],5634318,2010,25,3.43,1.00,82,1.00,Q4,0.90,A2,[23001011020P6],1,cluster1
57331,1,[83911],5634329,2010,25,1.86,0.75,41,0.50,Q2,0.50,B1,[23001011020P6],1,cluster1
57332,1,[83911],5634353,2009,25,1.19,0.75,79,1.00,Q4,0.90,A2,[23001011020P6],1,cluster1
57341,2,[42195-50953],5652376,2019,25,2.80,1.00,85,1.00,Q4,0.90,A2,[22001018074P6-23001011015P2-23001011036P0],3,cluster1
57344,1,[88504],5655767,2016,25,3.50,1.00,87,1.00,Q4,1.00,A1,[23001011009P2-23001011026P4-23001011041P3],3,cluster1
57345,1,[34140],5656099,2009,25,5.93,1.00,92,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57348,1,[34140],5656102,2005,25,1.85,0.75,67,0.75,Q3,0.80,A3,[23001011012P3-23001011047P1],2,cluster1
57351,1,[34140],5656105,2011,25,2.01,1.00,56,0.75,Q3,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
57352,1,[34140],5656106,2008,25,7.24,1.00,95,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57354,3,[34140-37502-58102],5656110,2011,25,2.80,1.00,85,1.00,Q4,0.90,A2,[23001011012P3-23001011020P6-23001011047P1],3,cluster1
57357,1,[34140],5656113,2001,25,3.23,1.00,86,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57359,1,[34140],5656116,2003,25,2.25,1.00,77,1.00,Q4,0.90,A2,[23001011012P3-23001011047P1],2,cluster1
57362,1,[34140],5656121,2000,25,3.23,1.00,86,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57364,1,[34140],5656124,2008,25,2.10,1.00,55,0.75,Q3,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
57369,1,[34140],5656130,2004,25,1.85,0.75,67,0.75,Q3,0.80,A3,[23001011012P3-23001011047P1],2,cluster1
57370,1,[34140],5656131,1994,25,2.58,1.00,81,1.00,Q4,0.90,A2,[23001011012P3-23001011047P1],2,cluster1
57371,1,[34140],5656132,2009,25,2.01,1.00,56,0.75,Q3,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
57372,1,[34140],5656133,2008,25,2.01,1.00,56,0.75,Q3,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
57374,1,[34140],5656136,1999,25,4.68,1.00,93,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57376,1,[34140],5656138,2019,25,3.21,1.00,85,1.00,Q4,0.90,A2,[23001011012P3-23001011047P1],2,cluster1
57378,1,[34140],5656141,2005,25,2.01,1.00,56,0.75,Q3,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
57379,1,[34140],5656142,2000,25,6.12,1.00,97,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57380,1,[34140],5656143,2018,25,1.67,0.75,59,0.75,Q3,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
57381,1,[34140],5656144,2006,25,2.83,1.00,79,1.00,Q4,0.90,A2,[23001011012P3-23001011047P1],2,cluster1
57385,1,[34140],5656150,2005,25,1.85,0.75,67,0.75,Q3,0.80,A3,[23001011012P3-23001011047P1],2,cluster1
57388,1,[34140],5656154,2002,25,4.23,1.00,92,1.00,Q4,1.00,A1,[23001011012P3-23001011047P1],2,cluster1
57389,1,[34140],5656155,2008,25,1.40,0.75,56,0.75,Q3,0.00,C/NI/NP,[23001011012P3-23001011047P1],2,cluster1
57390,1,[34140],5656156,2009,25,1.02,0.75,43,0.50,Q2,0.70,A4,[23001011012P3-23001011047P1],2,cluster1
