qualis,programas,prog._qtd
C/NI/NP,[23001011005P7-23001011033P0-23001011063P7],3
C/NI/NP,[23001011005P7],1
A2,[23001011005P7],1
A2,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
A3,[23001011005P7],1
C/NI/NP,[23001011005P7-23001011033P0],2
A4,[22003010017P5-23001011005P7-23001011020P6-23001011031P8-23001011036P0-23001011063P7-23001011170P8],7
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
A3,[23001011005P7],1
C/NI/NP,[23001011005P7],1
A3,[23001011005P7-23001011033P0],2
C/NI/NP,[23001011005P7-23001011063P7],2
A3,[23001011005P7],1
B2,[23001011005P7],1
A4,[23001011005P7-23001011031P8-23001011033P0],3
A4,[22003010017P5-23001011005P7-23001011020P6-23001011031P8-23001011036P0-23001011063P7-23001011170P8],7
C/NI/NP,[23001011005P7],1
A2,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
A3,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7-23001011031P8],2
A2,[23001011005P7],1
A3,[23001011005P7],1
A4,[23001011005P7-23001011033P0],2
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
A3,[23001011005P7],1
C/NI/NP,[23001011005P7-23001011031P8],2
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
C/NI/NP,[23001011005P7],1
A4,[23001011005P7],1
A2,[23001011005P7],1
A2,[23001011005P7-23001011033P0],2
A4,[23001011005P7],1
A4,[23001011005P7],1
A3,[23001011005P7],1
A1,[23001011170P8],1
A1,[23001011042P0],1
C/NI/NP,[23001011010P0],1
C/NI/NP,[23001011015P2],1
C/NI/NP,[23001011170P8],1
A2,[23001011038P2],1
A1,[23001011038P2],1
A2,[22003010017P5-23001011170P8],2
C/NI/NP,[22001018074P6-23001011036P0],2
B2,[22003010017P5-23001011011P7],2
C/NI/NP,[22001018074P6],1
C/NI/NP,[22003010017P5-23001011031P8-23001011040P7-23001011075P5],4
A1,[23001011067P2],1
A1,[23001011067P2],1
A4,[23001011170P8],1
A3,[23001011020P6],1
A2,[23001011020P6],1
A2,[23001011020P6],1
C/NI/NP,[22003010017P5-23001011031P8-23001011040P7-52001016048P0],4
A1,[23001011005P7],1
A2,[23001011005P7],1
A2,[23001011005P7],1
C/NI/NP,[23001011058P3],1
B1,[23001011054P8],1
A2,[23001011023P5],1
A1,[23001011012P3-23001011026P4-31001017169P2],3
B1,[23001011061P4],1
A4,[23001011054P8],1
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A2,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
A3,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-24001015081P8-31010016027P9],4
A3,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
A3,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
A3,[23001011005P7-23001011033P0-31010016027P9],3
A4,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
B1,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A1,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
A1,[23001011005P7-23001011033P0-31010016027P9],3
A4,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011031P8-23001011033P0-31010016027P9],4
A3,[23001011005P7-23001011033P0-31010016027P9],3
A1,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-23001011075P5-24001015081P8-31010016027P9],5
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A3,[23001011005P7-23001011033P0-31010016027P9],3
A2,[23001011005P7-23001011033P0-31010016027P9],3
C/NI/NP,[23001011005P7-23001011033P0-31010016027P9],3
A2,[23001011005P7-23001011033P0-31010016027P9],3
B1,[23001011005P7-23001011033P0-31010016027P9],3
B1,[23001011005P7-23001011033P0-31010016027P9],3
A4,[23001011005P7-23001011033P0-31010016027P9],3
B2,[23001011005P7-23001011033P0-23001011063P7-23001011072P6-23001011172P0-31010016027P9],6
